AÑO;MES;ID;TIPOEDIFICIO;EDIFICIO;DIRECCION;DISTRITO;CÓDIGO DISTRITO;BARRIO;CÓDIGO BARRIO;COORDENADA-X;COORDENADA-Y;LONGITUD;LATITUD;SENSOR;TIPO;CLASE;GRUPO;UNIDADES;CONSUMO
2024;4;;Centros sociales;CC Rubén Darío (ahora CAF2);CALLE MATAPOZUELOS, 6 28043 MADRID;HORTALEZA;16;CANILLAS;163;445985,6;4479845,8;-3.6371504310879637;40.4675325678908;[Josefina Represa][0768] Electricidad General (Activa);EXTERNO;Energía activa;;kWh;4111,000977
2024;4;;Centros sociales;CC Rubén Darío (ahora CAF2);CALLE MATAPOZUELOS, 6 28043 MADRID;HORTALEZA;16;CANILLAS;163;445985,6;4479845,8;-3.6371504310879637;40.4675325678908;[Josefina Represa][0768] [B] Electricidad General (Reactiva);EXTERNO;Energía Reactiva;;kVArh;SIN DATOS O INFORMACIÓN INCOMPLETA
2024;4;;Centros sociales;CD Gertrudis de la Fuente;CALLE  GERTRUDIS DE LA FUENTE,  2  28047  MADRID;LATINA;10;LOS CARMENES;101;437147,5;4472354,2;-3.7406555727350845;40.39942362398212;[CD Gertrudis de la Fuente][2299] [B] Electricidad General (Reactiva);EXTERNO;Energía Reactiva;;kVArh;SIN DATOS O INFORMACIÓN INCOMPLETA
2024;4;;Centros deportivos;CDM Arganzuela La Fundi;CALLE  ALICANTE,  14  28045  MADRID ;ARGANZUELA;2;DELICIAS;25;441393,5;4471782,2;-3.690571516361563;40.39458110345797;[CDM Arganzuela La Fundi][1916] Electricidad General (Activa);EXTERNO;Energía activa;;kWh;7760,103027
2024;4;;Centros deportivos;CDM Arganzuela La Fundi;CALLE  ALICANTE,  14  28045  MADRID ;ARGANZUELA;2;DELICIAS;25;441393,5;4471782,2;-3.690571516361563;40.39458110345797;[CDM Arganzuela La Fundi][1916] [B] Electricidad General (Reactiva);EXTERNO;Energía Reactiva;;kVArh;SIN DATOS O INFORMACIÓN INCOMPLETA
2024;4;;Centros deportivos;CDM Orcasur;CALLE  MOREJA,  11  28041  MADRID;USERA;12;ORCASUR;122;440772,6;4468869,7;-3.697616718211155;40.36829943916931;[CDM Orcasur][1096] Electricidad General (Activa);EXTERNO;Energía activa;;kWh;29661,03125
2024;4;;Centros deportivos;CDM Orcasur;CALLE  MOREJA,  11  28041  MADRID;USERA;12;ORCASUR;122;440772,6;4468869,7;-3.697616718211155;40.36829943916931;[CDM Orcasur][1096] [B] Electricidad General (Reactiva);EXTERNO;Energía Reactiva;;kVArh;6462,012695
2024;4;;Centros escolares;CEIP Arquitecto Gaudí;CALLE  ROSA JARDON,  10  28016  MADRID;CHAMARTIN;5;NUEVA ESPAÑA;55;443342,9;4479638,8;-3.668302639648561;40.46549157894541;[CEIP Arquitecto Gaudí][0363] Electricidad General (Activa);EXTERNO;Energía activa;;kWh;4914,601074
2024;4;;Centros escolares;CEIP Arquitecto Gaudí;CALLE  ROSA JARDON,  10  28016  MADRID;CHAMARTIN;5;NUEVA ESPAÑA;55;443342,9;4479638,8;-3.668302639648561;40.46549157894541;[CEIP Arquitecto Gaudí][0363] [B] Electricidad General (Reactiva);EXTERNO;Energía Reactiva;;kVArh;SIN DATOS O INFORMACIÓN INCOMPLETA
2024;4;;Centros escolares;CEIP Isaac Albéniz;CALLE  DRACENA,  29  28016  MADRID;CHAMARTIN;5;NUEVA ESPAÑA;55;443336,8;4479520,7;-3.66836478382635;40.464427256699516;[CEIP Isaac Albéniz][0212] Electricidad General (Activa);EXTERNO;Energía activa;;kWh;2655,300049
