last_reported,station_id,num_bikes_available,num_docks_available,is_installed,is_renting,is_returning,name,lat,lon,capacity
2024-09-01T00:30:00Z,16,20,0,true,true,true,georges quay,53.347507,-6.252192,20
2024-09-01T00:30:00Z,17,16,4,true,true,true,golden lane,53.3408,-6.267732,20
2024-09-01T00:30:00Z,18,16,14,true,true,true,grantham street,53.33412,-6.265436,30
2024-09-01T00:30:00Z,19,0,30,true,true,true,herbert place,53.33443,-6.245575,30
2024-09-01T00:30:00Z,20,0,30,true,true,true,james street east,53.336597,-6.248109,30
2024-09-01T00:30:00Z,22,19,0,true,true,true,townsend street,53.34592,-6.254614,20
2024-09-01T00:30:00Z,23,25,5,true,true,true,custom house,53.348278,-6.254662,30
2024-09-01T00:30:00Z,24,11,9,true,true,true,cathal brugha street,53.35215,-6.260533,20
2024-09-01T00:30:00Z,25,8,22,true,true,true,merrion square east,53.339436,-6.246548,30
2024-09-01T00:30:00Z,26,13,7,true,true,true,merrion square west,53.339764,-6.251988,20
2024-09-01T00:30:00Z,27,1,18,true,true,true,molesworth street,53.34129,-6.258117,20
2024-09-01T00:30:00Z,28,2,28,true,true,true,mountjoy square west,53.3563,-6.258586,30
2024-09-01T00:30:00Z,29,18,11,true,true,true,ormond quay upper,53.346058,-6.268001,29
2024-09-01T00:30:00Z,3,20,0,true,true,true,bolton street,53.35118,-6.269859,20
