num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2024S021539;07/07/2024;2:05:00;CALL. ROCAFORT, 53;53;17;VILLAVERDE;Colisión fronto-lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;441705;4465991;N;NULL
2024S021540;07/07/2024;4:14:00;CMNO. CHINA A VALLECAS, 20;20;18;VILLA DE VALLECAS;Colisión fronto-lateral;Despejado;Furgoneta;Conductor;De 25 a 29 años;Hombre;NULL;NULL;444189;4467588;S;NULL
2024S021540;07/07/2024;4:14:00;CMNO. CHINA A VALLECAS, 20;20;18;VILLA DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;NULL;NULL;444189;4467588;N;NULL
2024S021542;07/07/2024;3:30:00;PASEO. SAN FRANCISCO DE SALES, 6;6;7;CHAMBERÍ;Alcance;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439253;4476842;N;NULL
2024S021542;07/07/2024;3:30:00;PASEO. SAN FRANCISCO DE SALES, 6;6;7;CHAMBERÍ;Alcance;Despejado;Turismo;Conductor;De 50 a 54 años;Mujer;14;Sin asistencia sanitaria;439253;4476842;S;NULL
2024S021542;07/07/2024;3:30:00;PASEO. SAN FRANCISCO DE SALES, 6;6;7;CHAMBERÍ;Alcance;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;439253;4476842;N;NULL
2024S021542;07/07/2024;3:30:00;PASEO. SAN FRANCISCO DE SALES, 6;6;7;CHAMBERÍ;Alcance;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;439253;4476842;N;NULL
2024S021544;06/07/2024;13:40:00;CALL. VILLAAMIL, 64;64;6;TETUÁN;Atropello a persona;Despejado;Turismo;Conductor;De 25 a 29 años;Mujer;14;Sin asistencia sanitaria;439959;4479186;N;NULL
2024S021544;06/07/2024;13:40:00;CALL. VILLAAMIL, 64;64;6;TETUÁN;Atropello a persona;Despejado;Turismo;Peatón;De 25 a 29 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;439959;4479186;N;NULL
2024S021546;07/07/2024;6:50:00;CALL. AMPARO USERA / CALL. RAMON LUJAN;12;12;USERA;Colisión lateral;Despejado;Turismo;Conductor;De 21 a 24 años;Hombre;NULL;NULL;440172;4470978;S;NULL
2024S021546;07/07/2024;6:50:00;CALL. AMPARO USERA / CALL. RAMON LUJAN;12;12;USERA;Colisión lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;440172;4470978;N;NULL
2024S021547;07/07/2024;7:02:00;PASEO. SANTA MARIA DE LA CABEZA, 138;138;11;CARABANCHEL;Caída;Despejado;Motocicleta > 125cc;Conductor;De 40 a 44 años;Hombre;3;Ingreso superior a 24 horas;439494;4471244;N;NULL
2024S021548;07/07/2024;7:00:00;CALL. RAMON PEREZ DE AYALA / CALL. EL BOSCO;70;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;444637;4472567;N;NULL
2024S021548;07/07/2024;7:00:00;CALL. RAMON PEREZ DE AYALA / CALL. EL BOSCO;70;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;444637;4472567;N;NULL
2024S021548;07/07/2024;7:00:00;CALL. RAMON PEREZ DE AYALA / CALL. EL BOSCO;70;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;444637;4472567;N;NULL
2024S021549;07/07/2024;1:35:00;CMNO. CUARTEL, 4;4;21;BARAJAS;Atropello a persona;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;450884;4479799;N;NULL
2024S021549;07/07/2024;1:35:00;CMNO. CUARTEL, 4;4;21;BARAJAS;Atropello a persona;Despejado;Turismo;Peatón;De 30 a 34 años;Hombre;1;Atención en urgencias sin posterior ingreso;450884;4479799;S;NULL
2024S021552;07/07/2024;7:30:00;CALL. TRES / CALL. CINCO;2;20;SAN BLAS-CANILLEJAS;Colisión múltiple;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;449487;4477806;N;NULL
2024S021552;07/07/2024;7:30:00;CALL. TRES / CALL. CINCO;2;20;SAN BLAS-CANILLEJAS;Colisión múltiple;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;449487;4477806;N;NULL
2024S021552;07/07/2024;7:30:00;CALL. TRES / CALL. CINCO;2;20;SAN BLAS-CANILLEJAS;Colisión múltiple;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;449487;4477806;N;NULL
2024S021552;07/07/2024;7:30:00;CALL. TRES / CALL. CINCO;2;20;SAN BLAS-CANILLEJAS;Colisión múltiple;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;449487;4477806;N;NULL
2024S021553;07/07/2024;11:00:00;PSRL. PRINCIPADO DE ANDORRA / PQUE. MADRID RIO;0;2;ARGANZUELA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;438646;4472968;N;NULL
2024S021553;07/07/2024;11:00:00;PSRL. PRINCIPADO DE ANDORRA / PQUE. MADRID RIO;0;2;ARGANZUELA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;Desconocido;Desconocido;NULL;NULL;438646;4472968;N;NULL
2024S021554;06/07/2024;14:00:00;AVDA. SAN DIEGO, 76;76;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;NULL;NULL;443169;4471025;N;NULL
2024S021554;06/07/2024;14:00:00;AVDA. SAN DIEGO, 76;76;13;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 40 a 44 años;Hombre;NULL;NULL;443169;4471025;N;NULL
