num_expediente,fecha,hora,timestamp,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,coordenadas,positiva_alcohol,positiva_droga
2024S020056,18/06/2024,14:30:00,2024-06-18T14:30:00Z,CALL. AGES / AVDA. CAMINO DE SANTIAGO,2,8,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 40 a 44 años,Mujer,77,Se desconoce,442978.501,4483993.836,"442978.501, 4483993.836",0,0
2024S020056,18/06/2024,14:30:00,2024-06-18T14:30:00Z,CALL. AGES / AVDA. CAMINO DE SANTIAGO,2,8,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 45 a 49 años,Hombre,77,Se desconoce,442978.501,4483993.836,"442978.501, 4483993.836",0,0
2024S020056,18/06/2024,14:30:00,2024-06-18T14:30:00Z,CALL. AGES / AVDA. CAMINO DE SANTIAGO,2,8,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 45 a 49 años,Mujer,77,Se desconoce,442978.501,4483993.836,"442978.501, 4483993.836",0,0
2024S020056,18/06/2024,14:30:00,2024-06-18T14:30:00Z,CALL. AGES / AVDA. CAMINO DE SANTIAGO,2,8,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,77,Se desconoce,442978.501,4483993.836,"442978.501, 4483993.836",0,0
2024S020056,18/06/2024,14:30:00,2024-06-18T14:30:00Z,CALL. AGES / AVDA. CAMINO DE SANTIAGO,2,8,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,77,Se desconoce,442978.501,4483993.836,"442978.501, 4483993.836",0,0
2024S020056,18/06/2024,14:30:00,2024-06-18T14:30:00Z,CALL. AGES / AVDA. CAMINO DE SANTIAGO,2,8,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,Turismo,Conductor,Desconocido,Desconocido,77,Se desconoce,442978.501,4483993.836,"442978.501, 4483993.836",0,0
2024S020057,18/06/2024,15:27:00,2024-06-18T15:27:00Z,PLAZA. EMPERADOR CARLOS V / PLAZA. EMPERADOR CARLOS V,10,1,CENTRO,Caída,Despejado,NULL,Conductor,Desconocido,Desconocido,77,Se desconoce,441306.933,4473355.483,"441306.933, 4473355.483",0,0
2024S020057,18/06/2024,15:27:00,2024-06-18T15:27:00Z,PLAZA. EMPERADOR CARLOS V / PLAZA. EMPERADOR CARLOS V,10,1,CENTRO,Caída,Despejado,Motocicleta hasta 125cc,Conductor,De 25 a 29 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,441306.933,4473355.483,"441306.933, 4473355.483",0,0
2024S020058,18/06/2024,14:00:00,2024-06-18T14:00:00Z,"PASEO. ESPERANZA, 59",59,2,ARGANZUELA,Atropello a persona,Despejado,Vehículo articulado,Conductor,De 35 a 39 años,Hombre,14,Sin asistencia sanitaria,440403.205,4472172.259,"440403.205, 4472172.259",0,0
2024S020058,18/06/2024,14:00:00,2024-06-18T14:00:00Z,"PASEO. ESPERANZA, 59",59,2,ARGANZUELA,Atropello a persona,Despejado,Vehículo articulado,Peatón,Más de 74 años,Hombre,3,Ingreso superior a 24 horas,440403.205,4472172.259,"440403.205, 4472172.259",0,0
